Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Full_Name
EMP1024,Bob,Brown,30,Admin-Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,1502745643,Good,True,Admin,Texas,Bob Brown
EMP1025,David,Miller,25,Cloud Tech-Nevada,Pending,2020-04-30,66025.92,david.miller@example.com,9485625727,Average,False,Cloud Tech,Nevada,David Miller
EMP1026,Frank,Miller,25,Sales-New York,Inactive,2023-10-02,83979.01,frank.miller@example.com,7032032073,Average,False,Sales,New York,Frank Miller
EMP1027,Heidi,Johnson,30,Finance-Florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,2761707586,Excellent,True,Finance,Florida,Heidi Johnson
EMP1028,Grace,Garcia,40,Finance-Nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,7712151341,Excellent,False,Finance,Nevada,Grace Garcia
EMP1029,Alice,Brown,40,DevOps-California,Active,2021-05-24,63411.31,alice.brown@example.com,2849939088,Excellent,True,DevOps,California,Alice Brown
EMP1030,Charlie,Jones,40,Admin-California,Inactive,2021-05-26,111214.02,charlie.jones@example.com,2613715040,Good,True,Admin,California,Charlie Jones
EMP1031,Bob,Smith,25,DevOps-Illinois,Active,2020-07-10,114845.69,bob.smith@example.com,6591520176,Excellent,True,DevOps,Illinois,Bob Smith
EMP1032,Charlie,Brown,40,Finance-Florida,Active,2024-11-05,78072.82,charlie.brown@example.com,7490509758,Average,False,Finance,Florida,Charlie Brown
EMP1033,Grace,Johnson,25,Finance-California,Inactive,2021-08-07,79610.52,grace.johnson@example.com,2304501895,Average,False,Finance,California,Grace Johnson
EMP1034,Heidi,Miller,30,Admin-California,Active,2020-04-29,90542.62,heidi.miller@example.com,1642361031,Excellent,True,Admin,California,Heidi Miller
EMP1035,Frank,Jones,25,Cloud Tech-Illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,6642147648,Excellent,True,Cloud Tech,Illinois,Frank Jones
EMP1036,Alice,Brown,30,Cloud Tech-New York,Active,2023-05-03,54757.26,alice.brown@example.com,2515837766,Poor,False,Cloud Tech,New York,Alice Brown
EMP1037,Grace,Smith,25,Sales-New York,Pending,2023-05-02,52781.92,grace.smith@example.com,4996165925,Average,True,Sales,New York,Grace Smith
EMP1038,Frank,Smith,35,Admin-Nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,6108573277,Good,True,Admin,Nevada,Frank Smith
EMP1039,Eva,Williams,40,HR-Texas,Active,2022-07-27,93481.15,eva.williams@example.com,8147617421,Poor,False,HR,Texas,Eva Williams
EMP1040,Bob,Williams,25,Sales-New York,Pending,2021-06-27,59271.96,bob.williams@example.com,4386490809,Excellent,True,Sales,New York,Bob Williams
EMP1041,Bob,Davis,30,HR-California,Active,2022-06-16,108362.15,bob.davis@example.com,8186617944,Excellent,False,HR,California,Bob Davis
EMP1042,Alice,Johnson,30,HR-Nevada,Active,2024-12-03,59400.38,alice.johnson@example.com,4918017225,Average,True,HR,Nevada,Alice Johnson
EMP1043,Bob,Garcia,30,Admin-California,Inactive,2023-05-23,64744.08,bob.garcia@example.com,164597793,Excellent,False,Admin,California,Bob Garcia
EMP1044,Eva,Brown,30,Finance-California,Active,2020-07-08,94399.91,eva.brown@example.com,5232194167,Good,True,Finance,California,Eva Brown
EMP1045,Alice,Brown,25,HR-New York,Pending,2021-06-20,61310.74,alice.brown@example.com,61027768,Average,True,HR,New York,Alice Brown
EMP1046,Grace,Garcia,30,Cloud Tech-Texas,Active,2024-12-13,98371.37,grace.garcia@example.com,7499564121,Excellent,False,Cloud Tech,Texas,Grace Garcia
EMP1047,Alice,Davis,35,Sales-Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,310303722,Average,True,Sales,Illinois,Alice Davis
EMP1048,Alice,Miller,35,Admin-Nevada,Active,2023-09-27,57195.55,alice.miller@example.com,6831472759,Excellent,False,Admin,Nevada,Alice Miller
EMP1049,Grace,Miller,30,DevOps-New York,Active,2024-11-05,61375.12,grace.miller@example.com,1227770792,Excellent,True,DevOps,New York,Grace Miller
EMP1050,Charlie,Davis,40,Cloud Tech-New York,Pending,2021-11-11,104767.05,charlie.davis@example.com,3496050165,Excellent,False,Cloud Tech,New York,Charlie Davis
EMP1051,David,Miller,35,Admin-Nevada,Active,2022-02-22,111051.67,david.miller@example.com,7998407677,Good,False,Admin,Nevada,David Miller
EMP1052,David,Williams,30,Finance-California,Inactive,2024-08-07,105674.18,david.williams@example.com,9973080694,Good,False,Finance,California,David Williams
EMP1053,Alice,Brown,30,Finance-California,Inactive,2024-11-05,54859.45,alice.brown@example.com,8146717956,Average,False,Finance,California,Alice Brown
EMP1054,Frank,Davis,30,Finance-Nevada,Pending,2021-11-09,115746.6,frank.davis@example.com,6024375737,Excellent,True,Finance,Nevada,Frank Davis
EMP1055,Eva,Brown,30,Sales-California,Active,2020-08-10,91759.99,eva.brown@example.com,3959724664,Excellent,True,Sales,California,Eva Brown
EMP1056,Frank,Garcia,40,Sales-Illinois,Active,2022-02-27,112965.33,frank.garcia@example.com,7293417222,Good,False,Sales,Illinois,Frank Garcia
EMP1057,Alice,Smith,40,Cloud Tech-Illinois,Pending,2023-11-07,100360.1,alice.smith@example.com,2971674337,Excellent,False,Cloud Tech,Illinois,Alice Smith
EMP1058,David,Williams,35,Finance-Texas,Pending,2021-11-07,93620.88,david.williams@example.com,54522800,Good,False,Finance,Texas,David Williams
EMP1059,Bob,Jones,35,Sales-California,Pending,2022-04-16,72832.8,bob.jones@example.com,5619318373,Excellent,True,Sales,California,Bob Jones
EMP1060,Charlie,Williams,30,Finance-Nevada,Inactive,2023-10-19,102369.42,charlie.williams@example.com,5508428909,Average,True,Finance,Nevada,Charlie Williams
EMP1061,Eva,Davis,40,Sales-Texas,Inactive,2021-08-10,64712.79,eva.davis@example.com,7711991807,Excellent,True,Sales,Texas,Eva Davis
EMP1062,Frank,Jones,40,Finance-Florida,Pending,2021-03-13,85782.18,frank.jones@example.com,1213524786,Excellent,True,Finance,Florida,Frank Jones
EMP1063,Charlie,Smith,25,HR-Illinois,Pending,2023-07-20,93348.26,charlie.smith@example.com,1255213759,Poor,False,HR,Illinois,Charlie Smith
EMP1064,David,Davis,35,Admin-New York,Active,2020-02-20,53234.96,david.davis@example.com,3754821455,Good,False,Admin,New York,David Davis
EMP1065,Bob,Johnson,40,Finance-Nevada,Pending,2021-02-02,100284.21,bob.johnson@example.com,5328632665,Excellent,False,Finance,Nevada,Bob Johnson
EMP1066,Grace,Brown,30,Admin-Nevada,Pending,2020-01-12,112486.19,grace.brown@example.com,7850720810,Excellent,True,Admin,Nevada,Grace Brown
EMP1067,Bob,Smith,40,Admin-New York,Pending,2022-11-26,82518.49,bob.smith@example.com,5562606028,Poor,True,Admin,New York,Bob Smith
EMP1068,Bob,Brown,40,Admin-Florida,Pending,2022-12-23,119152.47,bob.brown@example.com,846684549,Poor,True,Admin,Florida,Bob Brown
EMP1069,Heidi,Miller,30,DevOps-Illinois,Inactive,2024-08-28,113479.83,heidi.miller@example.com,4892673898,Good,False,DevOps,Illinois,Heidi Miller
EMP1070,Charlie,Johnson,40,Finance-California,Active,2024-09-16,94636.3,charlie.johnson@example.com,7563410855,Poor,False,Finance,California,Charlie Johnson
EMP1071,Heidi,Johnson,30,HR-Florida,Active,2024-01-01,70000.97,heidi.johnson@example.com,2884318847,Average,True,HR,Florida,Heidi Johnson
EMP1072,Frank,Smith,30,Cloud Tech-New York,Active,2021-04-18,76812.47,frank.smith@example.com,5200894345,Poor,False,Cloud Tech,New York,Frank Smith
EMP1073,David,Johnson,25,Finance-Florida,Inactive,2023-01-16,82614.7,david.johnson@example.com,8105485100,Average,True,Finance,Florida,David Johnson
EMP1074,Grace,Jones,40,Sales-Nevada,Active,2024-10-20,111645.97,grace.jones@example.com,7490753997,Good,True,Sales,Nevada,Grace Jones
EMP1075,Heidi,Johnson,25,HR-California,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,9354492682,Good,False,HR,California,Heidi Johnson
EMP1076,David,Brown,40,Admin-California,Inactive,2022-09-21,52031.74,david.brown@example.com,1589357125,Good,True,Admin,California,David Brown
EMP1077,Grace,Brown,30,Finance-New York,Pending,2022-12-29,51887.65,grace.brown@example.com,6110627370,Good,False,Finance,New York,Grace Brown
EMP1078,Alice,Davis,25,DevOps-Florida,Active,2024-11-10,82318.89,alice.davis@example.com,5869886496,Good,True,DevOps,Florida,Alice Davis
EMP1079,Grace,Brown,35,Admin-Florida,Inactive,2021-11-22,103286.08,grace.brown@example.com,6776228276,Average,False,Admin,Florida,Grace Brown
EMP1080,Grace,Davis,35,Cloud Tech-Florida,Active,2024-03-14,87759.33,grace.davis@example.com,2881377027,Average,False,Cloud Tech,Florida,Grace Davis
EMP1081,Frank,Brown,30,DevOps-Texas,Pending,2020-03-23,102796.32,frank.brown@example.com,5196115939,Good,False,DevOps,Texas,Frank Brown
EMP1082,David,Jones,25,Sales-New York,Active,2020-09-15,83149.27,david.jones@example.com,8215454469,Poor,True,Sales,New York,David Jones
EMP1083,David,Garcia,40,DevOps-California,Inactive,2020-12-09,92412.49,david.garcia@example.com,2296044326,Excellent,True,DevOps,California,David Garcia
EMP1084,Bob,Davis,30,HR-Texas,Pending,2020-02-22,115022.1,bob.davis@example.com,185106793,Good,False,HR,Texas,Bob Davis
EMP1085,Grace,Williams,40,DevOps-New York,Active,2023-04-27,98343.01,grace.williams@example.com,9756792286,Poor,False,DevOps,New York,Grace Williams
EMP1086,Bob,Miller,35,DevOps-Illinois,Active,2024-06-18,118869.1,bob.miller@example.com,7725199662,Excellent,True,DevOps,Illinois,Bob Miller
EMP1087,Frank,Smith,30,Finance-Nevada,Inactive,2020-05-21,85417.26,frank.smith@example.com,6580741208,Good,True,Finance,Nevada,Frank Smith
EMP1088,Grace,Brown,40,Cloud Tech-Florida,Inactive,2023-07-25,112410.25,grace.brown@example.com,4818139889,Good,True,Cloud Tech,Florida,Grace Brown
EMP1089,Charlie,Johnson,40,Admin-Nevada,Pending,2023-08-25,68905.77,charlie.johnson@example.com,9837801819,Average,False,Admin,Nevada,Charlie Johnson
EMP1090,Heidi,Garcia,40,Finance-Nevada,Pending,2021-07-03,72561.32,heidi.garcia@example.com,4339718955,Excellent,True,Finance,Nevada,Heidi Garcia
EMP1091,Bob,Brown,35,Finance-New York,Inactive,2023-03-13,92723.22,bob.brown@example.com,9070562607,Excellent,True,Finance,New York,Bob Brown
EMP1092,Alice,Johnson,40,HR-New York,Inactive,2021-03-10,74837.75,alice.johnson@example.com,5641118241,Poor,False,HR,New York,Alice Johnson
EMP1093,Eva,Miller,30,DevOps-California,Pending,2020-01-21,86163.91,eva.miller@example.com,2412462094,Average,True,DevOps,California,Eva Miller
EMP1094,David,Miller,40,Finance-Illinois,Active,2023-11-15,83326.52,david.miller@example.com,2004615264,Average,True,Finance,Illinois,David Miller
EMP1095,Heidi,Miller,25,Cloud Tech-California,Active,2022-04-08,98425.1,heidi.miller@example.com,4610339936,Average,True,Cloud Tech,California,Heidi Miller
EMP1096,Frank,Johnson,40,Sales-Illinois,Inactive,2022-05-21,119764.2,frank.johnson@example.com,8861405785,Average,False,Sales,Illinois,Frank Johnson
EMP1097,Frank,Brown,40,HR-California,Inactive,2021-04-17,58445.91,frank.brown@example.com,1706304890,Excellent,False,HR,California,Frank Brown
EMP1098,Bob,Miller,30,DevOps-New York,Active,2021-03-19,101702.33,bob.miller@example.com,3824967182,Excellent,False,DevOps,New York,Bob Miller
EMP1099,Eva,Jones,25,Admin-California,Active,2022-01-09,87358.27,eva.jones@example.com,2582386869,Good,False,Admin,California,Eva Jones
EMP1100,Charlie,Davis,35,Cloud Tech-Texas,Pending,2021-08-21,98819.22,charlie.davis@example.com,794200748,Good,False,Cloud Tech,Texas,Charlie Davis
EMP1101,Heidi,Johnson,25,Cloud Tech-Illinois,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,4653984027,Average,False,Cloud Tech,Illinois,Heidi Johnson
EMP1102,Alice,Johnson,35,Finance-Texas,Active,2022-03-31,84422.26,alice.johnson@example.com,9141612845,Average,False,Finance,Texas,Alice Johnson
EMP1103,Alice,Brown,30,Admin-Illinois,Inactive,2020-06-23,119574.27,alice.brown@example.com,3985547434,Average,True,Admin,Illinois,Alice Brown
EMP1104,Grace,Johnson,30,Sales-Illinois,Active,2024-05-07,86580.08,grace.johnson@example.com,5379502096,Good,True,Sales,Illinois,Grace Johnson
EMP1105,Heidi,Johnson,35,Sales-Florida,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,26876810,Poor,False,Sales,Florida,Heidi Johnson
EMP1106,Bob,Miller,30,DevOps-New York,Inactive,2023-09-14,55683.12,bob.miller@example.com,8071569561,Poor,True,DevOps,New York,Bob Miller
EMP1107,Bob,Brown,30,Cloud Tech-Florida,Inactive,2023-11-12,91566.78,bob.brown@example.com,175370303,Good,True,Cloud Tech,Florida,Bob Brown
EMP1108,David,Miller,35,DevOps-California,Pending,2024-10-26,81782.19,david.miller@example.com,5319433749,Good,False,DevOps,California,David Miller
EMP1109,Eva,Davis,30,DevOps-New York,Inactive,2020-08-23,88119.37,eva.davis@example.com,4793036148,Good,True,DevOps,New York,Eva Davis
EMP1110,Eva,Garcia,30,Cloud Tech-Texas,Active,2024-06-11,71532.83,eva.garcia@example.com,8728399920,Good,True,Cloud Tech,Texas,Eva Garcia
EMP1111,Eva,Davis,40,Cloud Tech-Florida,Pending,2021-09-14,98981.36,eva.davis@example.com,9212493842,Good,True,Cloud Tech,Florida,Eva Davis
EMP1112,Heidi,Garcia,40,Cloud Tech-Illinois,Active,2024-12-26,80242.01,heidi.garcia@example.com,894870604,Good,True,Cloud Tech,Illinois,Heidi Garcia
EMP1113,Eva,Miller,25,Cloud Tech-New York,Pending,2024-09-08,110236.18,eva.miller@example.com,6641877579,Average,True,Cloud Tech,New York,Eva Miller
EMP1114,Alice,Davis,35,Sales-Texas,Active,2022-08-21,86327.47,alice.davis@example.com,3046875062,Average,False,Sales,Texas,Alice Davis
EMP1115,Eva,Brown,30,Sales-Florida,Pending,2024-07-25,84420.81,eva.brown@example.com,5190361331,Average,False,Sales,Florida,Eva Brown
EMP1116,Frank,Smith,40,HR-California,Pending,2020-08-02,110041.32,frank.smith@example.com,5411076094,Average,False,HR,California,Frank Smith
EMP1117,Heidi,Miller,35,DevOps-Florida,Pending,2020-03-16,81837.81,heidi.miller@example.com,4317350582,Good,True,DevOps,Florida,Heidi Miller
EMP1118,Frank,Garcia,25,Finance-Illinois,Active,2023-09-08,110855.72,frank.garcia@example.com,1997179109,Poor,False,Finance,Illinois,Frank Garcia
EMP1119,Alice,Jones,30,Sales-California,Pending,2024-03-29,84894.52,alice.jones@example.com,651207048,Excellent,True,Sales,California,Alice Jones
EMP1120,Alice,Garcia,30,HR-Illinois,Active,2021-08-12,80668.13,alice.garcia@example.com,6110804660,Good,True,HR,Illinois,Alice Garcia
EMP1121,Bob,Jones,25,DevOps-Illinois,Active,2023-12-24,61086.47,bob.jones@example.com,9639907675,Excellent,True,DevOps,Illinois,Bob Jones
EMP1122,Grace,Johnson,25,Admin-Texas,Inactive,2020-08-28,95339.68,grace.johnson@example.com,9915078592,Poor,True,Admin,Texas,Grace Johnson
EMP1123,Eva,Davis,30,DevOps-California,Inactive,2024-09-05,83774.97,eva.davis@example.com,1109193927,Average,False,DevOps,California,Eva Davis
EMP1124,Heidi,Jones,30,Admin-Florida,Active,2023-05-12,85576.86,heidi.jones@example.com,4567972319,Poor,False,Admin,Florida,Heidi Jones
EMP1125,Bob,Garcia,35,Finance-California,Pending,2021-07-01,107438.46,bob.garcia@example.com,249685497,Good,True,Finance,California,Bob Garcia
EMP1126,Eva,Johnson,30,Sales-Nevada,Inactive,2024-11-07,60401.68,eva.johnson@example.com,2274954507,Average,False,Sales,Nevada,Eva Johnson
EMP1127,Frank,Smith,35,Sales-Illinois,Inactive,2022-07-21,115299.66,frank.smith@example.com,9203880652,Good,True,Sales,Illinois,Frank Smith
EMP1128,David,Brown,30,Finance-New York,Inactive,2020-03-30,72272.34,david.brown@example.com,3315377958,Average,False,Finance,New York,David Brown
EMP1129,Grace,Brown,40,DevOps-Nevada,Active,2022-10-11,117537.71,grace.brown@example.com,9594652169,Excellent,False,DevOps,Nevada,Grace Brown
EMP1130,Frank,Brown,25,Finance-Texas,Pending,2022-07-24,51074.33,frank.brown@example.com,7303379336,Excellent,True,Finance,Texas,Frank Brown
EMP1131,Charlie,Jones,25,Finance-California,Inactive,2023-06-30,98489.32,charlie.jones@example.com,5636205014,Excellent,False,Finance,California,Charlie Jones
EMP1132,Frank,Smith,30,Finance-California,Pending,2024-01-11,112120.71,frank.smith@example.com,812473949,Poor,True,Finance,California,Frank Smith
EMP1133,Alice,Jones,30,Cloud Tech-New York,Pending,2023-11-02,114465.04,alice.jones@example.com,334234257,Good,False,Cloud Tech,New York,Alice Jones
EMP1134,Bob,Davis,40,Cloud Tech-Nevada,Pending,2024-11-22,57035.51,bob.davis@example.com,3230241025,Poor,True,Cloud Tech,Nevada,Bob Davis
EMP1135,Eva,Jones,25,Cloud Tech-California,Active,2021-08-23,75092.43,eva.jones@example.com,1534735527,Excellent,True,Cloud Tech,California,Eva Jones
EMP1136,David,Smith,30,Finance-Illinois,Pending,2024-06-11,62603.98,david.smith@example.com,9611223385,Good,False,Finance,Illinois,David Smith
EMP1137,Grace,Smith,30,DevOps-New York,Inactive,2023-04-09,60018.24,grace.smith@example.com,5596309937,Excellent,False,DevOps,New York,Grace Smith
EMP1138,Eva,Davis,40,HR-Nevada,Active,2024-07-05,82567.73,eva.davis@example.com,4253042896,Poor,True,HR,Nevada,Eva Davis
EMP1139,Charlie,Smith,25,Finance-California,Pending,2021-09-04,94725.71,charlie.smith@example.com,3179128684,Poor,False,Finance,California,Charlie Smith
EMP1140,Eva,Garcia,40,HR-New York,Inactive,2024-10-13,83824.56,eva.garcia@example.com,7872558776,Poor,False,HR,New York,Eva Garcia
EMP1141,Frank,Smith,30,HR-Nevada,Inactive,2020-02-14,118456.11,frank.smith@example.com,4969033372,Excellent,True,HR,Nevada,Frank Smith
EMP1142,Eva,Brown,25,Sales-Nevada,Pending,2020-04-10,113743.19,eva.brown@example.com,6346692547,Good,True,Sales,Nevada,Eva Brown
EMP1143,Eva,Garcia,30,Sales-California,Active,2023-07-27,63309.24,eva.garcia@example.com,1214785389,Good,False,Sales,California,Eva Garcia
EMP1144,Charlie,Garcia,25,DevOps-Nevada,Active,2021-09-24,105202.73,charlie.garcia@example.com,7895677664,Excellent,True,DevOps,Nevada,Charlie Garcia
EMP1145,Frank,Davis,30,Cloud Tech-California,Inactive,2024-03-10,79085.22,frank.davis@example.com,7546027340,Good,True,Cloud Tech,California,Frank Davis
EMP1146,Frank,Williams,30,Sales-California,Active,2021-06-10,113983.43,frank.williams@example.com,5148881430,Excellent,True,Sales,California,Frank Williams
EMP1147,Eva,Williams,35,Cloud Tech-Florida,Active,2020-10-15,102790.6,eva.williams@example.com,1150835353,Good,False,Cloud Tech,Florida,Eva Williams
EMP1148,Grace,Smith,30,HR-Texas,Inactive,2020-01-29,68512.1,grace.smith@example.com,4439284043,Average,False,HR,Texas,Grace Smith
EMP1149,Frank,Garcia,35,Sales-Florida,Pending,2022-01-30,57584.23,frank.garcia@example.com,5669078262,Average,True,Sales,Florida,Frank Garcia
EMP1150,Alice,Williams,30,Sales-California,Pending,2021-03-29,95335.67,alice.williams@example.com,3373898774,Poor,False,Sales,California,Alice Williams
EMP1151,Heidi,Williams,35,DevOps-Florida,Active,2020-10-13,53174.28,heidi.williams@example.com,1536637779,Average,True,DevOps,Florida,Heidi Williams
EMP1152,Heidi,Smith,25,Cloud Tech-New York,Pending,2020-10-04,77205.21,heidi.smith@example.com,5292407552,Average,False,Cloud Tech,New York,Heidi Smith
EMP1153,Grace,Williams,30,DevOps-Nevada,Active,2024-12-18,79041.92,grace.williams@example.com,6668459089,Average,True,DevOps,Nevada,Grace Williams
EMP1154,Heidi,Jones,30,Finance-California,Active,2023-11-14,75937.1,heidi.jones@example.com,2259999662,Excellent,True,Finance,California,Heidi Jones
EMP1155,David,Johnson,35,Cloud Tech-Nevada,Inactive,2023-01-20,113118.73,david.johnson@example.com,6186371596,Average,False,Cloud Tech,Nevada,David Johnson
EMP1156,Alice,Davis,40,HR-New York,Active,2024-10-02,107693.38,alice.davis@example.com,4121820969,Average,True,HR,New York,Alice Davis
EMP1157,David,Johnson,30,Cloud Tech-Texas,Inactive,2021-05-13,119217.46,david.johnson@example.com,2316433480,Poor,False,Cloud Tech,Texas,David Johnson
EMP1158,David,Smith,25,Sales-New York,Pending,2021-03-18,106913.71,david.smith@example.com,7058025661,Average,False,Sales,New York,David Smith
EMP1159,Charlie,Brown,30,Cloud Tech-California,Active,2020-09-23,87815.08,charlie.brown@example.com,1286716322,Average,True,Cloud Tech,California,Charlie Brown
EMP1160,Bob,Davis,25,Admin-Texas,Inactive,2024-06-05,105190.21,bob.davis@example.com,4672994937,Good,True,Admin,Texas,Bob Davis
EMP1161,Alice,Smith,30,HR-Texas,Active,2024-02-28,79467.24,alice.smith@example.com,7430271692,Poor,False,HR,Texas,Alice Smith
EMP1162,Bob,Garcia,40,Finance-California,Pending,2023-04-30,57633.78,bob.garcia@example.com,8597779013,Poor,True,Finance,California,Bob Garcia
EMP1163,Alice,Brown,30,HR-Florida,Pending,2020-03-04,54257.78,alice.brown@example.com,7546926328,Poor,True,HR,Florida,Alice Brown
EMP1164,Grace,Johnson,40,DevOps-Texas,Inactive,2023-12-29,113679.06,grace.johnson@example.com,6762916031,Poor,True,DevOps,Texas,Grace Johnson
EMP1165,Bob,Smith,35,Sales-New York,Active,2020-09-15,69251.12,bob.smith@example.com,4841376814,Poor,True,Sales,New York,Bob Smith
EMP1166,Frank,Garcia,40,Sales-Illinois,Inactive,2022-07-18,85388.58,frank.garcia@example.com,1185672437,Poor,True,Sales,Illinois,Frank Garcia
EMP1167,Bob,Davis,30,DevOps-New York,Inactive,2022-07-13,112166.37,bob.davis@example.com,701765635,Excellent,False,DevOps,New York,Bob Davis
EMP1168,Heidi,Davis,40,Finance-Nevada,Active,2021-10-02,79873.48,heidi.davis@example.com,41257770,Average,False,Finance,Nevada,Heidi Davis
EMP1169,Frank,Miller,30,DevOps-Florida,Active,2020-07-05,108224.03,frank.miller@example.com,1837274219,Poor,True,DevOps,Florida,Frank Miller
EMP1170,Bob,Garcia,35,Admin-Illinois,Active,2023-04-16,116963.72,bob.garcia@example.com,9124186209,Average,True,Admin,Illinois,Bob Garcia
EMP1171,Bob,Jones,40,HR-Nevada,Inactive,2024-11-12,114109.06,bob.jones@example.com,4275230836,Average,True,HR,Nevada,Bob Jones
EMP1172,Eva,Williams,30,HR-California,Active,2023-03-29,85518.88,eva.williams@example.com,816470899,Excellent,False,HR,California,Eva Williams
EMP1173,Heidi,Brown,30,Cloud Tech-California,Pending,2022-01-22,58041.97,heidi.brown@example.com,6335331059,Poor,True,Cloud Tech,California,Heidi Brown
EMP1174,David,Garcia,40,Sales-Illinois,Pending,2023-10-14,94988.94,david.garcia@example.com,531312205,Good,False,Sales,Illinois,David Garcia
EMP1175,Eva,Miller,25,Admin-California,Pending,2024-04-10,71628.93,eva.miller@example.com,8155839385,Excellent,False,Admin,California,Eva Miller
EMP1176,Alice,Williams,30,Admin-Illinois,Pending,2022-03-31,54870.98,alice.williams@example.com,6133155205,Good,False,Admin,Illinois,Alice Williams
EMP1177,Alice,Williams,25,DevOps-Illinois,Active,2022-02-09,79388.27,alice.williams@example.com,5063731494,Average,True,DevOps,Illinois,Alice Williams
EMP1178,Frank,Smith,35,DevOps-California,Pending,2023-05-06,55946.99,frank.smith@example.com,136497188,Average,False,DevOps,California,Frank Smith
